Floor,Range,Beginning,Map,Text
2 East (Middle),64,LB2342.7 .E46,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),65,LB2804 .P5,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),66,LB2825 .M17,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),67,LB3011 .S42 10,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),68,LB3401 .J7 50,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),69,LC191 .G45,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),70,LC1037.5 .B67,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),71,LC2701 .J6 1,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),72,LC3727 .O43,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),73,LC4031 .D47,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),74,LC5201 .J68,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (Middle),75,LF2163 .A15,http://mulibraries.missouri.edu/images/maps/2EastC.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your right are located in 2 East (Middle)."
2 East (South),76,PQ3801 .L86,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),82,PR19 .H3,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),83,PR651 .C36,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),84,PR1866 .C3,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),85,PR2825 .H65,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),86,PR3508 .M29,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),87,PR4550 .M5,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),88,PR5480 .F06,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),89,PR6013. R44 Z52,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),90,PR6056 .R287 .R6,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),91,PS88 .P32,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),92,PS501 .B54,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),93,PS1449 .C85 .M3,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),95,PS3529 .N5 .Z5798,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),96,PS3553 .O5545 .C66,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),97,PS3565 .V94 .D3,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),98,PT238 .D3,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),99,PT2296 .A1 .H43,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),100,PT2625 .U8 .S313,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),101,PZ3 .B474,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),102,Q1 .A1 .E9,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),103,Q3 .Z39,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),104,Q11 .U6,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),105,Q65 .M183,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),106,Q181 .T3538,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),107,QA273.4 .K92,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),108,QB1 .A9,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),109,QC1 .A56,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),110,QC1 .J83,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),111,QC1 .P442,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),112,QC1 .P885,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),113,QC170 .Z34,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),114,QC176 .J6,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),115,QC451 .J65,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),116,QC780 .L413,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),117,QC925 .N3,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),118,QD1 .A5,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),119,QD1 .C586,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),120,QD1 .J93,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),121,QD1 .S4,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),122,QD95 .J63,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),123,QD241 .T42,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),124,QD415 .A1 .B5,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),125,QD471 .J64,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),126,QD504 .K55,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),127,QD601 .A1 .R25,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),128,QE33 .R44,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (South),129,QH1 .C143,http://mulibraries.missouri.edu/images/maps/2EastS.gif,"Elevator: choose 2R.  Go left towards the book stacks. The book stacks on your right are located in 2 East (South)."
2 East (North),1,HF1 .C83,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),2,HF1014 .I53,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),3,HF1532.955 .J3 .E93,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),4,HF5001 .B89,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),5,HF5343 .C38,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),6,HF5429.3 .C43,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),7,HF5549.5 .C6 .H83,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),8,HF5616 .U5 B47,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),9,HF5905 .E38,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),10,HG179 .M59,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),11,HG2401 .A5,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),12,HG4057 .A22,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),13,HG4905 .M785,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),14,HG8016 .N2,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
2 East (North),15,HM1 .A7,http://mulibraries.missouri.edu/images/maps/2EastN.gif,"Elevator: choose 2.  Go right through the doorway marked 2 East.  The book stacks on your left are located in 2 East (North)."
3 Central,5,PN9 .C33,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,6,PN92 .B7,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,7,PN778 .Q55,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,8,PN1861 .I58,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,9,PN1993.5 .U6 .S325,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,10,PN1999 .E3 .B3,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,11,PN2101 .H3,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,12,PN2597 .H538,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,13,PN4017 .Q3,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 Central,14,PN6115 .C6,http://mulibraries.missouri.edu/images/maps/3central.gif,"Elevator: choose 3R.  Go right around the corner and straight towards the post with the 3 Central sign.  Follow the arrow by turning left (through the book stacks) and straight until you reach the next 3 Central sign on the wall.  Follow the arrow by turning right, through the doorway marked 3 Central. You are now in 3 Central."
3 East (North),1,B1 .A11,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),2,B1 .P475,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),3,B23 .Q45,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),4,B491 .L8 .L8,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),5,B945 .D41 .I4,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),6,B2722 .A3 .E25,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),7,B4845 .M3754 .C76,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),8,BF1 .J6,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),9,BF173 .A2 .A63,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),10,BF367 .J68,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),11,BF671 .C62,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),12,BF1141 .F93,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),13,BL240.2 .Z9,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),14,BM1 .J8,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),15,BR3 .R33,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),16,BR145.2 .S8,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),17,BS410 .B7,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),18,BS1171.2 .E5,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),19,BT220 .R53,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),20,BV3790 .F5,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),21,BX802 .R5,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),22,BX1492 .M57,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),23,BX3601 .A7,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),24,BX6901 .C5,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),25,CB245 .B872,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),26,CC27 .J33,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),27,CJ3 .R6,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),28,CS434 .B7,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),29,D1 .H818,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),30,D2 .A74,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),31,D51 .V47,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),32,D377.A1 .A5,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),33,D741 .D4,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),34,D805 .P6 .H36,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),35,D839 .S9,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),36,DA25 .H6,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),37,DA360 .M3,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),38,DA670 .J5 .A2,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),39,DA750 .S25,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),41,DC1 .A24,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
3 East (North),42,DC131.9 .V3 .M84,http://mulibraries.missouri.edu/images/maps/3eastn.gif,"Elevator: choose 3. Turn right, through the doorway marked 3 East and down a short flight of stairs. The book stacks on your left are located in 3 East (North)."
